sub_dest_x,sub_dest_y,connection_time,duration,start_x,start_y,end_x,end_y,initial_vel(x),initial_vel(y),x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,circle_obst_x,circle_obst_y,circle_obst_rad,total_cost
0,0,0,1.84718,0,0,3,0,0.5,0,0,0,0.0589747,0,0.14354,0,0.253695,0,0.389441,0,0.550777,0,0.737704,0,0.950221,0,1.18833,0,1.45203,0,1.72048,0,1.96359,0,2.18111,0,2.37304,0,2.53937,0,2.68012,0,2.79528,0,2.88484,0,2.94882,0,2.9872,0,3,0,2,0,0.5,7.29289
0.1,0,0.2,2.10313,0,0,3,0,0.5,0,0,0,0.0602489,0,0.0953366,0,0.136612,0,0.211061,0,0.318684,0,0.45948,0,0.63345,0,0.840593,0,1.08091,0,1.3544,0,1.65647,0,1.93845,0,2.18725,0,2.40288,0,2.58533,0,2.73461,0,2.85072,0,2.93365,0,2.98341,0,3,0,2,0,0.5,7.22973
0.0913545,0.0406737,0.2,2.1444,0,0,3,0,0.5,0,0,0,0.0547324,0.0109396,0.0861452,0.0350658,0.129079,0.0521055,0.206383,0.0662917,0.318058,0.0776243,0.464102,0.0861033,0.644517,0.0917287,0.859302,0.0945005,1.10846,0.0944187,1.39198,0.0914834,1.70035,0.0856944,1.98206,0.0770519,2.2294,0.0655558,2.44237,0.0512061,2.62097,0.0356698,2.7652,0.0228287,2.87506,0.0128411,2.95055,0.00570717,2.99167,0.00142679,3,1.38778e-17,2,0,0.5,7.33457
0.0669131,0.0743145,0.2,2.1468,0,0,3,0,0.5,0,0,0,0.0432896,0.0138182,0.0663315,0.0518926,0.103028,0.087407,0.173816,0.117221,0.278697,0.141335,0.41767,0.159748,0.590735,0.172462,0.797893,0.179474,1.03914,0.180787,1.31448,0.176399,1.62103,0.166311,1.91062,0.150523,2.16611,0.129034,2.38752,0.101845,2.57483,0.0712538,2.72805,0.0456024,2.84717,0.0256514,2.93221,0.0114006,2.98315,0.00285015,3,2.77556e-17,2,0,0.5,7.42819
0.0309017,0.0951057,0.2,2.19701,0,0,3,0,0.5,0,0,0,0.0415135,0.0121556,0.0572082,0.0481303,0.087515,0.0881141,0.153471,0.121799,0.255076,0.149186,0.39233,0.170275,0.565234,0.185065,0.773786,0.193557,1.01799,0.19575,1.29784,0.191644,1.61091,0.181241,1.90779,0.164539,2.16902,0.141538,2.3946,0.112239,2.58454,0.0787305,2.73882,0.0503875,2.85746,0.028343,2.94045,0.0125969,2.98778,0.00314922,3,1.38778e-17,2,0,0.5,7.61884
0.0309017,0.0951057,0.4,2.41976,0,0,3,0,0.5,0,0,0,0.0442248,0.0147455,0.0559113,0.0577522,0.0372337,0.0899447,0.0359241,0.09913,0.0779244,0.104495,0.163764,0.107302,0.293444,0.10755,0.466963,0.10524,0.684321,0.100371,0.945519,0.0929443,1.25056,0.0829591,1.59713,0.0704156,1.92593,0.0553136,2.21089,0.0397859,2.45201,0.0267972,2.64928,0.0163668,2.80272,0.00849478,2.91232,0.00318113,2.97808,0.000425839,3,0,2,0,0.5,7.60793
-0.0104528,0.0994522,0.2,2.21039,0,0,3,0,0.5,0,0,0,0.0397804,0.0098021,0.049821,0.0387618,0.0741136,0.070757,0.134701,0.0977092,0.231584,0.119619,0.364761,0.136485,0.534233,0.148309,0.74,0.155089,0.982062,0.156827,1.26042,0.153522,1.57422,0.145174,1.87779,0.131783,2.14505,0.113349,2.37602,0.0898726,2.5707,0.0630361,2.72908,0.0403431,2.85117,0.022693,2.93696,0.0100858,2.98646,0.00252144,3,-2.77556e-17,2,0,0.5,7.69994
-0.0104528,0.0994522,0.4,2.5425,0,0,3,0,0.5,0,0,0,0.0430823,0.012969,0.0452041,0.0518304,0.0087288,0.0885648,-0.00775247,0.107347,0.0240035,0.121883,0.104076,0.132408,0.232464,0.138921,0.409168,0.141422,0.634189,0.139912,0.907526,0.134391,1.22918,0.124858,1.59572,0.111314,1.93993,0.0937579,2.23583,0.0721907,2.48341,0.0501431,2.68268,0.0320916,2.83363,0.0180515,2.93627,0.00802289,2.99059,0.00200572,3,0,2,0,0.5,8.06857
-0.05,0.0866025,0.2,2.20856,0,0,3,0,0.5,0,0,0,0.0383148,0.00699986,0.0440833,0.0276838,0.0631557,0.0504921,0.118624,0.069603,0.210488,0.0850165,0.338747,0.0967325,0.503402,0.104751,0.704453,0.109072,0.9419,0.109696,1.21574,0.106622,1.52597,0.099851,1.83534,0.0893824,2.10831,0.0752163,2.34488,0.0573528,2.54505,0.0386515,2.70883,0.0235939,2.83622,0.0122338,2.92721,0.00457106,2.9818,0.000605792,3,6.93889e-18,2,0,0.5,7.35244
-0.05,0.0866025,0.4,2.55916,0,0,3,0,0.5,0,0,0,0.0412887,0.00939869,0.0371964,0.0375948,-0.0113544,0.0708928,-0.0465248,0.0914234,-0.032772,0.107773,0.0299322,0.120058,0.141588,0.128279,0.302195,0.132436,0.511754,0.132528,0.770264,0.128557,1.07773,0.120521,1.43414,0.108421,1.80069,0.0922569,2.11887,0.0720285,2.38811,0.050064,2.60839,0.0319233,2.77972,0.0178469,2.9021,0.00783462,2.97552,0.00188656,3,2.77556e-17,2,0,0.5,7.89728
